{'env': 'cartpole', 'algorithm': 'mc_reinforce', 'use_max': False, 'buffer_size': 100000, 'learning_rate': 0.001, 'value_learning_rate': 0.001, 'batch_size': 128, 'gamma': 0.99, 'update_period': 4, 'use_baseline': True, 'wandb_sweep': False, 'sweep_id': None, 'wandb_entity': 'da24d008-iit-madras', 'wandb_project': 'rl-assignment-2'}
Episode 100	Average Return: 19.79
Episode 200	Average Return: 41.39
Episode 300	Average Return: 110.57
Episode 400	Average Return: 108.03
Episode 500	Average Return: 67.889
Episode 600	Average Return: 58.95
Episode 700	Average Return: 101.12
Episode 793	Average Return: 481.99
Environment solved in 793 episodes!	Average Score: 481.99
