{'env': 'cartpole', 'algorithm': 'mc_reinforce', 'use_max': False, 'buffer_size': 100000, 'learning_rate': 0.001, 'value_learning_rate': 0.001, 'batch_size': 128, 'gamma': 0.99, 'update_period': 4, 'use_baseline': True, 'wandb_sweep': False, 'sweep_id': None, 'wandb_entity': 'da24d008-iit-madras', 'wandb_project': 'rl-assignment-2'}
Episode 100	Average Score: 33.11
Episode 200	Average Score: 101.40
Episode 300	Average Score: 334.83
Episode 400	Average Score: 25.007
Episode 500	Average Score: 41.54
Episode 600	Average Score: 101.62
Episode 700	Average Score: 183.17
Episode 765	Average Score: 478.49
Environment solved in 765 episodes!	Average Score: 478.49
