{'env': 'acrobot', 'algorithm': 'mc_reinforce', 'use_max': False, 'buffer_size': 100000, 'learning_rate': 0.0009797287617232307, 'value_learning_rate': 0.001, 'batch_size': 128, 'gamma': 0.99, 'update_period': 4, 'use_baseline': True, 'wandb_sweep': True, 'sweep_id': None, 'wandb_entity': 'da24d008-iit-madras', 'wandb_project': 'rl-assignment-2'}
Episode 100	Average Score: -247.30
Episode 200	Average Score: -172.33
Episode 300	Average Score: -137.62
Episode 400	Average Score: -122.31
Episode 500	Average Score: -115.58
Episode 600	Average Score: -121.96
Episode 700	Average Score: -111.30
Episode 800	Average Score: -99.724

Environment solved in 800 episodes!	Average Score: -99.72
