{'env': 'cartpole', 'algorithm': 'mc_reinforce', 'use_max': False, 'buffer_size': 100000, 'learning_rate': 0.0008025030192329248, 'value_learning_rate': 0.001, 'batch_size': 128, 'gamma': 0.99, 'update_period': 4, 'use_baseline': True, 'wandb_sweep': True, 'sweep_id': None, 'wandb_entity': 'da24d008-iit-madras', 'wandb_project': 'rl-assignment-2'}
Episode 100	Average Score: 38.24
Episode 200	Average Score: 60.11
Episode 300	Average Score: 66.57
Episode 400	Average Score: 54.44
Episode 500	Average Score: 74.63
Episode 600	Average Score: 85.34
Episode 700	Average Score: 131.59
Episode 743	Average Score: 479.77
Environment solved in 743 episodes!	Average Score: 479.77
