{'env': 'cartpole', 'algorithm': 'mc_reinforce', 'use_max': False, 'buffer_size': 100000, 'learning_rate': 0.0003439085899244476, 'value_learning_rate': 0.001, 'batch_size': 128, 'gamma': 0.99, 'update_period': 4, 'use_baseline': False, 'wandb_sweep': True, 'sweep_id': None, 'wandb_entity': 'da24d008-iit-madras', 'wandb_project': 'rl-assignment-2'}
Episode 100	Average Score: 19.62
Episode 200	Average Score: 32.17
Episode 300	Average Score: 55.31
Episode 400	Average Score: 73.37
Episode 500	Average Score: 164.11
Episode 600	Average Score: 184.16
Episode 700	Average Score: 422.69
Episode 744	Average Score: 475.78
Environment solved in 744 episodes!	Average Score: 475.78
