{'env': 'cartpole', 'algorithm': 'mc_reinforce', 'use_max': False, 'buffer_size': 100000, 'learning_rate': 0.00041076756484634063, 'value_learning_rate': 0.001, 'batch_size': 128, 'gamma': 0.99, 'update_period': 4, 'use_baseline': False, 'wandb_sweep': True, 'sweep_id': None, 'wandb_entity': 'da24d008-iit-madras', 'wandb_project': 'rl-assignment-2'}
Episode 100	Average Score: 28.74
Episode 200	Average Score: 38.36
Episode 300	Average Score: 46.05
Episode 400	Average Score: 76.35
Episode 500	Average Score: 151.42
Episode 600	Average Score: 258.95
Episode 700	Average Score: 289.27
Episode 758	Average Score: 477.01
Environment solved in 758 episodes!	Average Score: 477.01
