{'env': 'cartpole', 'algorithm': 'mc_reinforce', 'use_max': False, 'buffer_size': 100000, 'learning_rate': 0.0003774881389024157, 'value_learning_rate': 0.001, 'batch_size': 128, 'gamma': 0.99, 'update_period': 4, 'use_baseline': False, 'wandb_sweep': True, 'sweep_id': None, 'wandb_entity': 'da24d008-iit-madras', 'wandb_project': 'rl-assignment-2'}
Episode 100	Average Score: 24.81
Episode 200	Average Score: 36.78
Episode 300	Average Score: 50.28
Episode 400	Average Score: 62.67
Episode 500	Average Score: 111.91
Episode 600	Average Score: 114.06
Episode 700	Average Score: 320.82
Episode 800	Average Score: 110.57
Episode 899	Average Score: 475.62
Environment solved in 899 episodes!	Average Score: 475.62
